,0,1,2
38,Mon Apr 12 02:27:37 +0000 2021,1381433796357025795,"rt @dsuga_1993: 'd-2' has surpassed 290m streams on spotify! it is the fastest album by a korean soloist to achieve this milestone.

@bts_t…"
39,Mon Apr 12 02:27:37 +0000 2021,1381433797086941189,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
40,Mon Apr 12 02:27:37 +0000 2021,1381433797342867458,"rt @nct_charts: .@nctsmtown ""resonance pt.2"" has surpassed 200 million streams on spotify. https://t.co/qm5oghdsws"
41,Mon Apr 12 02:27:37 +0000 2021,1381433797816639491,rt @milkymengs: yg producers trust for @treasuremembers is really that tight so as fans who don't have knowledge about music must trust the…
42,Mon Apr 12 02:27:37 +0000 2021,1381433798248775681,tina turner - the best (official music video) [hd remastered] https://t.co/qguhr4mgjs
43,Mon Apr 12 02:27:38 +0000 2021,1381433798458417154,"@meeiiita disini ready kak @est3oo5 😸

🐾 netflix spotify youtube get contact wetv vsco viu canva apple music premiu… https://t.co/9425nxd4if"
44,Mon Apr 12 02:27:38 +0000 2021,1381433799100235776,@pandacobaingg @rhearipley_wwe @wweasuka i'm not a fan of that music either but i'm down for rhea to finally get th… https://t.co/rkxfb9ajub
45,Mon Apr 12 02:27:38 +0000 2021,1381433799280451584,fuck the day after........ fuck fuck fuck
46,Mon Apr 12 02:27:38 +0000 2021,1381433799502749702,"🌈 open order app premium 🌈

✅ 1oo% legal
✅ new but trusted
💳 dana spay bca
📩 dm for order (mention before dm)

t. j… https://t.co/8yiz7tzscm"
47,Mon Apr 12 02:27:38 +0000 2021,1381433799549063170,"rt @gabbygiffords: after i was shot, i was able to sing a full song before i could complete a full sentence. not many people know just how…"
48,Mon Apr 12 02:27:38 +0000 2021,1381433799771295749,"@koocookiess hm well idk. i usually draw, watch videos or listen to music so that’s y recommended them. maybe think… https://t.co/rnlv0k9tug"
49,Mon Apr 12 02:27:38 +0000 2021,1381433800010440710,when i heard that prince was dead again i was shocked. but then i realised he wasn’t english or a real prince marri… https://t.co/bzqs3dtcwm
50,Mon Apr 12 02:27:38 +0000 2021,1381433800203337728,"rt @kingbesson: the good times and the bad ones ! 

thank you @whydontwemusic for being such an important part of my life for the past few…"
51,Mon Apr 12 02:27:38 +0000 2021,1381433800396263425,"rt @nolanews: normally we’d be celebrating in the streets together this weekend, but stay tuned - live music is right around the corner! ch…"
52,Mon Apr 12 02:27:38 +0000 2021,1381433801327353857,"rt @mamamoocharts: youtube music videos trending worldwide: 

#9 [teaser] 휘인 (whee in) - water color #2

trending in 10 countries:
🔗 https:…"
53,Mon Apr 12 02:27:38 +0000 2021,1381433801557962756,"rt @billboardbts20: rules: 👉 https://t.co/oeq1uczvhb
vote here: 👉 https://t.co/fubwb92lnn 

i vote 'bts' #dynamite ( son sung deuk ) for #f…"
54,Mon Apr 12 02:27:38 +0000 2021,1381433801939750913,"rt @globalblackpink: [ 🗳️ ] iheartradio music awards 2021 | best music video ⚔️ 

📝 retweet, reply &amp; requote!
global blinks last 4 hours be…"
55,Mon Apr 12 02:27:38 +0000 2021,1381433801897693188,"8 hours of dark ambient from iron cthulhu apocalypse (original music, no... https://t.co/46mx3qcvup @youtubeより"
56,Mon Apr 12 02:27:38 +0000 2021,1381433801868509184,always greatest hits. now playing if i ever lose my faith in you - sting the music don't stop on… https://t.co/be4zurguis
57,Mon Apr 12 02:27:38 +0000 2021,1381433802195632143,will never forget that time i was in a tiktok comment section &amp; someone said that bts’ music sounds like church mus… https://t.co/knojz13wtt
58,Mon Apr 12 02:27:38 +0000 2021,1381433802543759363,rt @selgoncharts: .@selenagomez &amp; @rauwalejandro’s music video “baila conmigo” has returned to the 1st position on latin itunes us. https:/…
59,Mon Apr 12 02:27:38 +0000 2021,1381433801583120386,"🦋jual aplikasi premium🦋
netflix youtube viu spotify apple music iflix iqiyi wetv drakorid canva vsco

✔️murah trust… https://t.co/js1dzzr4wa"
60,Mon Apr 12 02:27:39 +0000 2021,1381433802854002692,rt @sceneryfortae: sweet night reached 120 million streams on spotify. congratulations taehyung 🔥 @bts_twt https://t.co/nitaam6kcj
61,Mon Apr 12 02:27:39 +0000 2021,1381433803390906369,@aocummies you followed me because i replied saying bladee is music for guys who threaten to kill themselves when girls won’t fuck them
62,Mon Apr 12 02:27:39 +0000 2021,1381433803592269827,someone do group sessions with me on spotify plz🙏🏽
63,Mon Apr 12 02:27:39 +0000 2021,1381433803462209543,rt @btspublicity: .@bts_twt was the 5th most streamed artist on spotify on april 8th with over 20.8 million streams.
64,Mon Apr 12 02:27:39 +0000 2021,1381433803961479173,rt @ogxtp: even if yo music trash keep going because trash rappers can get rich too
65,Mon Apr 12 02:27:39 +0000 2021,1381433804498235395,"@ahahannya viu prems
1 month - 15
3 months - 25
6 months- 45
12 months -70

netflix solo
1 month - 225
3 months - 5… https://t.co/ei3mpclk0j"
66,Mon Apr 12 02:27:39 +0000 2021,1381433804880027652,"a hot tub sounds so amazing right now, get some drinks some music. now that's relaxing"
67,Mon Apr 12 02:27:39 +0000 2021,1381433805504983049,"@ancxentr6 i didn't know xddd
was vibing to music my bad x"
68,Mon Apr 12 02:27:39 +0000 2021,1381433805790138369,woe #smwradio #nowplaying bounce to dis by js (ig: @jswaggin01) #flowerzrewards is our way of saying thank you for… https://t.co/hkvlfgh5ly
69,Mon Apr 12 02:27:39 +0000 2021,1381433806410878982,rt @violetakaviolet: never forget that djing is about how much you love other people’s music
70,Mon Apr 12 02:27:40 +0000 2021,1381433807262261252,storm terrors layer has the best music sorry i dont make the rules
71,Mon Apr 12 02:27:40 +0000 2021,1381433807501324293,"rt @usblinksunion: iheartradio music awards | best mv

please make sure to maximize all 50 twitter votes per day for —  best music video ca…"
72,Mon Apr 12 02:27:40 +0000 2021,1381433807614607360,"rt @votewithami: [📈 rate] 

⏰ overall estimate 

🏆: best music video — iheart awards

1. bts - 4.8m

2.         - 2.2m 

⚠️ let’s continue…"
73,Mon Apr 12 02:27:40 +0000 2021,1381433807530643461,rt @gubi: all i do is b pretty and listen to music
74,Mon Apr 12 02:27:40 +0000 2021,1381433807669243904,gold — grlwood
75,Mon Apr 12 02:27:40 +0000 2021,1381433807837003776,don't stop the music. now free bird - lynyrd skynyrd on https://t.co/5jtvjtjojg https://t.co/ajbcn2xqvb
76,Mon Apr 12 02:27:40 +0000 2021,1381433808323510274,"rt @nct_charts: .@nctsmtown ""resonance pt.2"" has surpassed 200 million streams on spotify. https://t.co/qm5oghdsws"
77,Mon Apr 12 02:27:40 +0000 2021,1381433808537284609,"24

favorite music video choreography

i vote #dynamite for #favechoreography at 2021 #iheartawards @bts_twt"
78,Mon Apr 12 02:27:40 +0000 2021,1381433808814174208,"rt @twicebsocial: twice has reached 840,000 followers on line music japan 🇯🇵

they’re the first kpop act to reach this milestone yet 🎉🎉🔥🔥…"
79,Mon Apr 12 02:27:40 +0000 2021,1381433809040764932,"rt @badbunnycharts: only singers to have over 55 music videos with over 100 million views each on youtube.

— @sanbenito
— @nickiminaj
— @o…"
80,Mon Apr 12 02:27:40 +0000 2021,1381433809317502978,bts is the greatest gift in my life i'm so happy to witnesses of their own hardship in life and how bts are very ha… https://t.co/xspmfeassq
81,Mon Apr 12 02:27:40 +0000 2021,1381433810030563329,"rt @sophialrpg: i put a spell on you is out now! 
one of my favorite songs of ""reduce to tears"", and i'm so so happy to release 🖤

listen t…"
82,Mon Apr 12 02:27:40 +0000 2021,1381433810261209093,"rt @kingbesson: the good times and the bad ones ! 

thank you @whydontwemusic for being such an important part of my life for the past few…"
83,Mon Apr 12 02:27:40 +0000 2021,1381433810320035845,next flight to memphis slidin when i land ayeeee 🤣🤟🏽 https://t.co/erelwsdcl1
84,Mon Apr 12 02:27:40 +0000 2021,1381433810185637889,"rt @supportrv: take today and tomorrow to collect heartbeats diligently.

15 ads per day.
45 heartbeats per account per day. 
use more acco…"
85,Mon Apr 12 02:27:40 +0000 2021,1381433809846013954,how to build a relationship by flume and jpegmafia https://t.co/52czarqjdq
86,Mon Apr 12 02:27:40 +0000 2021,1381433809904672773,"visual inspired by, “the amazing spider-man: miles morales” soundtrack, “on my own,” by jaden smith ft. kid cudi.… https://t.co/ojdmilf6hj"
87,Mon Apr 12 02:27:41 +0000 2021,1381433811267952644,"rt @theswiftsociety: 🎧| ‘evermore’ has now surpassed one billion streams on spotify, doing so in exactly 5 months!

— it becomes @taylorswi…"
88,Mon Apr 12 02:27:41 +0000 2021,1381433811792232456,"@oasisrsv2 @weareoneexo 78. happy birthday sehun

https://t.co/tjjmznwogj
#exo @weareoneexo #sehun 
#happysehunday"
89,Mon Apr 12 02:27:41 +0000 2021,1381433812220063747,"rt @anna85032297: hello, i'm anna. twitter blocked my old account that was working in 2014. i had many friends and published art, photograp…"
90,Mon Apr 12 02:27:41 +0000 2021,1381433812337319937,"rt @billboardbts20: rules:  https://t.co/oeq1uczvhb
vote here:  https://t.co/fubwb92lnn 

i vote #dynamite for #bestmusicvideo at the 2021…"
91,Mon Apr 12 02:27:41 +0000 2021,1381433812626726914,"rt @m_vikramreddy: a small edit from my side😊
lovely lyrics❤️😍❤️,,,
loved it sir!! @ramjowrites❤️
music credits:@musicthaman❤️
#vakeelsaab…"
92,Mon Apr 12 02:27:41 +0000 2021,1381433813268525058,rt @viethoshi: it’s amazing how seungkwan managed to create a safe space for people who love kpop to come together regardless of fandom and…
93,Mon Apr 12 02:27:41 +0000 2021,1381433814010896386,"rt @jlo_bangtan: canciones de k-acts más reproducidas en la historia de spotify:

1. dynamite - 802m
2. boy with luv - 634m
3. * - 441m
4.…"
94,Mon Apr 12 02:27:41 +0000 2021,1381433815097245696,rt @namjoonsbest1e: story time on how my spotify got hacked cause i bought from shein...
95,Mon Apr 12 02:27:42 +0000 2021,1381433815738982404,"rt @ciara: i remember witnessing you perform and being deeply inspired. your delivery in your music was rare! your tone, your cadence, ever…"
96,Mon Apr 12 02:27:42 +0000 2021,1381433815697068038,literally on repeat all day  https://t.co/int3gsyp87
97,Mon Apr 12 02:27:42 +0000 2021,1381433816003280897,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
98,Mon Apr 12 02:27:42 +0000 2021,1381433816355500033,"rt @blinkvotingpage: [🗳️ iheartradio music awards | best fan army ]

i vote #blink for #bestfanarmy
on #iheartawards @blackpink"
99,Mon Apr 12 02:27:42 +0000 2021,1381433816338812930,"@theadericdr @rpsagainsttrump exclusively on spotify, so you’re all good ;)"
100,Mon Apr 12 02:27:42 +0000 2021,1381433816477265920,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
101,Mon Apr 12 02:27:42 +0000 2021,1381433816653295616,"rt @premiumxhsb: #entertainmentprems 

grab yours guys🥰

🏷 murang netflix, iflix, disney plus, viu, spotify, apple music, chegg, mathway, q…"
102,Mon Apr 12 02:27:42 +0000 2021,1381433817181921282,@j_ubiquity @cloud_naii lmfaooooooo the music cue took me out 😭😭😭
103,Mon Apr 12 02:27:42 +0000 2021,1381433817286782976,me driving around alone to music every weekend
104,Mon Apr 12 02:27:42 +0000 2021,1381433817945214978,"rt @garats17: #세븐틴  upcoming sched
4/13
#the8 side by side 6pm
 
4/18
hitori janai 1st perf on love music 24:30

4/21
official release of h…"
105,Mon Apr 12 02:27:42 +0000 2021,1381433818448531457,rt @hamidadjado: real music🖤🦅 https://t.co/077zxhgmdo
106,Mon Apr 12 02:27:42 +0000 2021,1381433818381479937,"rt @warnermusicsg: more music from @jacksonwang852 soon? this i can get behind. #teamwang

🎙️ watch the full interview with @mtvasia:  http…"
107,Mon Apr 12 02:27:43 +0000 2021,1381433820214403076,rt @dbcxptures: maybe i’m getting old but i genuinely don’t understand how people listen to this type of music.
108,Mon Apr 12 02:27:43 +0000 2021,1381433820923064321,"rt @m_vikramreddy: a small edit from my side😊
lovely lyrics❤️😍❤️,,,
loved it sir!! @ramjowrites❤️
music credits:@musicthaman❤️
#vakeelsaab…"
109,Mon Apr 12 02:27:43 +0000 2021,1381433821032284160,rt @popcrave: .@katyperry looks beautiful as she gives ‘roar’ music video vibes in newly shared photos. https://t.co/skvgfr0whn
110,Mon Apr 12 02:27:43 +0000 2021,1381433821070041089,big up @mreazi 🙌🏿
111,Mon Apr 12 02:27:43 +0000 2021,1381433821107654658,"@wishes_she_was oh, a rapper. never heard of them until his passing. as you can se my knowledge of rap music is lim… https://t.co/ociqrtxgen"
112,Mon Apr 12 02:27:43 +0000 2021,1381433821820768261,he really dropped 4 verses on this https://t.co/embgfqhxgz
